"species","island","latitude","longitude"
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Gentoo","Biscoe",-66.1859,-66.7305
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
"Chinstrap","Dream",-64.7269,-64.2352
